countyName , lat , lon , time , roadtmpc
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:00:00Z , 32.20000076293945
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:05:00Z , 31.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:10:00Z , 31.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:15:00Z , 31.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:20:00Z , 31.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:25:00Z , 30.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:30:00Z , 30.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:35:00Z , 30.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:40:00Z , 30.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:45:00Z , 30.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:50:00Z , 30.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T00:55:00Z , 29.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:00:00Z , 29.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:05:00Z , 28.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:10:00Z , 28.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:15:00Z , 28.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:20:00Z , 28.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:25:00Z , 28.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:30:00Z , 27.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:35:00Z , 27.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:40:00Z , 27.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:45:00Z , 27.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:50:00Z , 27.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T01:55:00Z , 26.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:00:00Z , 26.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:05:00Z , 26.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:10:00Z , 26.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:15:00Z , 26.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:20:00Z , 26.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:25:00Z , 25.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:30:00Z , 25.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:35:00Z , 25.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:40:00Z , 25.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:45:00Z , 25.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:50:00Z , 25.399999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T02:55:00Z , 25.299999237060547
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:00:00Z , 25.299999237060547
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:05:00Z , 25.0
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:10:00Z , 25.0
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:15:00Z , 24.700000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:20:00Z , 24.700000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:25:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:30:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:35:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:40:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:45:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:50:00Z , 24.600000381469727
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T03:55:00Z , 24.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:00:00Z , 24.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:05:00Z , 24.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:10:00Z , 24.200000762939453
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:15:00Z , 23.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:20:00Z , 23.899999618530273
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:25:00Z , 23.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:30:00Z , 23.5
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:35:00Z , 23.299999237060547
Story County , 41.87769317626953 , -93.57133483886719 , 05-10-2017T04:40:00Z , 23.299999237060547
