County, Latitude, Longitude, roadtmpc, pcpn, srad, snwd, drct,time,avg
Story County,41.873235,-93.571107,13.69999981,0,14.81000042,0,170,04-08-2017T02:15:00Z,68.349778
Story County,41.873235,-93.571107,14,0,14.81000042,0,170,04-08-2017T02:05:00Z,68.349778
Story County,41.873235,-93.571107,14,0,14.81000042,0,170,04-08-2017T02:10:00Z,68.349778
Story County,41.873235,-93.571107,14,0,56.22000122,0,160,04-08-2017T14:05:00Z,68.349778
Story County,41.873235,-93.571107,14,0,56.22000122,0,160,04-08-2017T14:10:00Z,68.349778
Story County,41.873235,-93.571107,14,0,56.22000122,0,160,04-08-2017T14:15:00Z,68.349778
Story County,41.873235,-93.571107,14.19999981,0,14.81000042,0,170,04-08-2017T01:55:00Z,68.349778
Story County,41.873235,-93.571107,14.19999981,0,14.81000042,0,170,04-08-2017T02:00:00Z,68.349778
Story County,41.873235,-93.571107,14.39999962,0,201.8000031,0,160,04-08-2017T14:20:00Z,68.349778
Story County,41.873235,-93.571107,14.5,0,14.81000042,0,170,04-08-2017T01:45:00Z,68.349778
Story County,41.873235,-93.571107,14.5,0,14.81000042,0,170,04-08-2017T01:50:00Z,68.349778
Story County,41.873235,-93.571107,14.80000019,0,14.81000042,0,170,04-08-2017T01:35:00Z,68.349778
Story County,41.873235,-93.571107,14.80000019,0,14.81000042,0,170,04-08-2017T01:40:00Z,68.349778
Story County,41.873235,-93.571107,15.10000038,0,14.81000042,0,170,04-08-2017T01:25:00Z,68.349778
Story County,41.873235,-93.571107,15.10000038,0,14.81000042,0,170,04-08-2017T01:30:00Z,68.349778
Story County,41.873235,-93.571107,15.39999962,0,14.81000042,0,170,04-08-2017T01:20:00Z,68.349778
Story County,41.873235,-93.571107,15.39999962,0,194.6000061,0,170,04-08-2017T01:15:00Z,68.349778
Story County,41.873235,-93.571107,15.69999981,0,194.6000061,0,170,04-08-2017T01:05:00Z,68.349778
Story County,41.873235,-93.571107,15.69999981,0,194.6000061,0,170,04-08-2017T01:10:00Z,68.349778
Story County,41.873235,-93.571107,15.80000019,0,201.8000031,0,160,04-08-2017T14:25:00Z,68.349778
Story County,41.873235,-93.571107,15.80000019,0,201.8000031,0,160,04-08-2017T14:30:00Z,68.349778
Story County,41.873235,-93.571107,16.10000038,0,194.6000061,0,170,04-08-2017T01:00:00Z,68.349778
Story County,41.873235,-93.571107,16.10000038,0,194.6000061,0,180,04-08-2017T00:55:00Z,68.349778
Story County,41.873235,-93.571107,16.29999924,0,201.8000031,0,160,04-08-2017T14:35:00Z,68.349778
Story County,41.873235,-93.571107,16.29999924,0,201.8000031,0,160,04-08-2017T14:40:00Z,68.349778
Story County,41.873235,-93.571107,16.79999924,0,194.6000061,0,170,04-08-2017T00:45:00Z,68.349778
Story County,41.873235,-93.571107,16.79999924,0,194.6000061,0,170,04-08-2017T00:50:00Z,68.349778
Story County,41.873235,-93.571107,17.20000076,0,194.6000061,0,170,04-08-2017T00:35:00Z,68.349778
Story County,41.873235,-93.571107,17.20000076,0,194.6000061,0,170,04-08-2017T00:40:00Z,68.349778
Story County,41.873235,-93.571107,17.60000038,0,201.8000031,0,160,04-08-2017T14:45:00Z,68.349778
Story County,41.873235,-93.571107,17.60000038,0,201.8000031,0,160,04-08-2017T14:50:00Z,68.349778
Story County,41.873235,-93.571107,18.10000038,0,194.6000061,0,170,04-08-2017T00:25:00Z,68.349778
Story County,41.873235,-93.571107,18.10000038,0,194.6000061,0,170,04-08-2017T00:30:00Z,68.349778
Story County,41.873235,-93.571107,18.20000076,0,201.8000031,0,170,04-08-2017T15:00:00Z,68.349778
Story County,41.873235,-93.571107,18.20000076,0,201.8000031,0,180,04-08-2017T14:55:00Z,68.349778
Story County,41.873235,-93.571107,18.89999962,0,194.6000061,0,170,04-08-2017T00:20:00Z,68.349778
Story County,41.873235,-93.571107,18.89999962,0,262.1000061,0,170,04-08-2017T00:15:00Z,68.349778
Story County,41.873235,-93.571107,19.29999924,0,201.8000031,0,170,04-08-2017T15:05:00Z,68.349778
Story County,41.873235,-93.571107,19.29999924,0,201.8000031,0,170,04-08-2017T15:10:00Z,68.349778
Story County,41.873235,-93.571107,19.70000076,0,262.1000061,0,170,04-08-2017T00:05:00Z,68.349778
Story County,41.873235,-93.571107,19.70000076,0,262.1000061,0,170,04-08-2017T00:10:00Z,68.349778
Story County,41.873235,-93.571107,19.89999962,0,201.8000031,0,170,04-08-2017T15:15:00Z,68.349778
Story County,41.873235,-93.571107,19.89999962,0,402.2000122,0,170,04-08-2017T15:20:00Z,68.349778
Story County,41.873235,-93.571107,20.39999962,0,262.1000061,0,170,04-08-2017T00:00:00Z,68.349778
Story County,41.873235,-93.571107,21,0,402.2000122,0,170,04-08-2017T15:25:00Z,68.349778
Story County,41.873235,-93.571107,21,0,402.2000122,0,170,04-08-2017T15:30:00Z,68.349778
Story County,41.873235,-93.571107,22,0,402.2000122,0,170,04-08-2017T15:35:00Z,68.349778
Story County,41.873235,-93.571107,22,0,402.2000122,0,170,04-08-2017T15:40:00Z,68.349778
Story County,41.873235,-93.571107,23,0,402.2000122,0,170,04-08-2017T15:45:00Z,68.349778
Story County,41.873235,-93.571107,23,0,402.2000122,0,170,04-08-2017T15:50:00Z,68.349778
Story County,41.873235,-93.571107,23.79999924,0,402.2000122,0,190,04-08-2017T16:00:00Z,68.349778
Story County,41.873235,-93.571107,23.79999924,0,402.2000122,0,200,04-08-2017T15:55:00Z,68.349778
Story County,41.873235,-93.571107,24.89999962,0,402.2000122,0,190,04-08-2017T16:05:00Z,68.349778
Story County,41.873235,-93.571107,24.89999962,0,402.2000122,0,190,04-08-2017T16:10:00Z,68.349778
Story County,41.873235,-93.571107,25.29999924,0,402.2000122,0,190,04-08-2017T16:15:00Z,68.349778
Story County,41.873235,-93.571107,25.29999924,0,606.9000244,0,190,04-08-2017T16:20:00Z,68.349778
Story County,41.873235,-93.571107,25.29999924,0,606.9000244,0,190,04-08-2017T16:25:00Z,68.349778
Story County,41.873235,-93.571107,25.29999924,0,606.9000244,0,190,04-08-2017T16:30:00Z,68.349778
Story County,41.873235,-93.571107,25.5,0,298.2000122,0,190,04-08-2017T23:55:00Z,68.349778
Story County,41.873235,-93.571107,25.89999962,0,298.2000122,0,190,04-08-2017T23:45:00Z,68.349778
Story County,41.873235,-93.571107,25.89999962,0,298.2000122,0,190,04-08-2017T23:50:00Z,68.349778
Story County,41.873235,-93.571107,26.5,0,298.2000122,0,190,04-08-2017T23:35:00Z,68.349778
Story County,41.873235,-93.571107,26.5,0,298.2000122,0,190,04-08-2017T23:40:00Z,68.349778
Story County,41.873235,-93.571107,26.79999924,0,606.9000244,0,190,04-08-2017T16:35:00Z,68.349778
Story County,41.873235,-93.571107,26.79999924,0,606.9000244,0,190,04-08-2017T16:40:00Z,68.349778
Story County,41.873235,-93.571107,27,0,298.2000122,0,190,04-08-2017T23:25:00Z,68.349778
Story County,41.873235,-93.571107,27,0,298.2000122,0,190,04-08-2017T23:30:00Z,68.349778
Story County,41.873235,-93.571107,27,0,606.9000244,0,190,04-08-2017T16:45:00Z,68.349778
Story County,41.873235,-93.571107,27,0,606.9000244,0,190,04-08-2017T16:50:00Z,68.349778
Story County,41.873235,-93.571107,27.29999924,0,284,0,190,04-08-2017T23:15:00Z,68.349778
Story County,41.873235,-93.571107,27.29999924,0,298.2000122,0,190,04-08-2017T23:20:00Z,68.349778
Story County,41.873235,-93.571107,27.60000038,0,284,0,190,04-08-2017T23:05:00Z,68.349778
Story County,41.873235,-93.571107,27.60000038,0,284,0,190,04-08-2017T23:10:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,284,0,190,04-08-2017T22:35:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,284,0,190,04-08-2017T22:40:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,284,0,190,04-08-2017T23:00:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,284,0,200,04-08-2017T22:55:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,606.9000244,0,180,04-08-2017T16:55:00Z,68.349778
Story County,41.873235,-93.571107,28.29999924,0,606.9000244,0,190,04-08-2017T17:00:00Z,68.349778
Story County,41.873235,-93.571107,28.5,0,284,0,190,04-08-2017T22:25:00Z,68.349778
Story County,41.873235,-93.571107,28.5,0,284,0,190,04-08-2017T22:30:00Z,68.349778
Story County,41.873235,-93.571107,28.60000038,0,284,0,190,04-08-2017T22:45:00Z,68.349778
Story County,41.873235,-93.571107,28.60000038,0,284,0,190,04-08-2017T22:50:00Z,68.349778
Story County,41.873235,-93.571107,28.60000038,0,391.8999939,0,180,04-08-2017T21:55:00Z,68.349778
Story County,41.873235,-93.571107,28.60000038,0,391.8999939,0,190,04-08-2017T22:00:00Z,68.349778
Story County,41.873235,-93.571107,28.70000076,0,284,0,190,04-08-2017T22:20:00Z,68.349778
Story County,41.873235,-93.571107,28.70000076,0,391.8999939,0,190,04-08-2017T22:15:00Z,68.349778
Story County,41.873235,-93.571107,28.79999924,0,391.8999939,0,170,04-08-2017T21:45:00Z,68.349778
Story County,41.873235,-93.571107,28.79999924,0,391.8999939,0,170,04-08-2017T21:50:00Z,68.349778
Story County,41.873235,-93.571107,28.79999924,0,391.8999939,0,190,04-08-2017T22:05:00Z,68.349778
Story County,41.873235,-93.571107,28.79999924,0,391.8999939,0,190,04-08-2017T22:10:00Z,68.349778
Story County,41.873235,-93.571107,28.89999962,0,541.2000122,0,170,04-08-2017T21:05:00Z,68.349778
Story County,41.873235,-93.571107,28.89999962,0,541.2000122,0,170,04-08-2017T21:10:00Z,68.349778
Story County,41.873235,-93.571107,29.10000038,0,606.9000244,0,190,04-08-2017T17:05:00Z,68.349778
Story County,41.873235,-93.571107,29.10000038,0,606.9000244,0,190,04-08-2017T17:10:00Z,68.349778
Story County,41.873235,-93.571107,29.20000076,0,391.8999939,0,170,04-08-2017T21:20:00Z,68.349778
Story County,41.873235,-93.571107,29.20000076,0,391.8999939,0,170,04-08-2017T21:25:00Z,68.349778
Story County,41.873235,-93.571107,29.20000076,0,391.8999939,0,170,04-08-2017T21:30:00Z,68.349778
